Nr. Crt.,Numar Registru,Numar Registru Special,Data Inregistrare,Categorie Personalitate Juridica,Denumire ONG,Instanta,Status,Este Filiala,Localitate,Judet,CUI,Scop,Are Utilitate Publica,Categorii relevante,Motiv relevanță,Tip intervenție
79,3315/A/2026,,07.09.2026,Asociație,ASOCIAŢIA PRIETENII LUI SEBASTIAN CĂTĂLIN,Judecatoria TÂRGU JIU,Inregistrat,Nu,DRAGUTESTI - GJ,GORJ,,"Scopul principal al asociaţiei II constituie sprijinirea, dezvoltarea şi integrarea în societate a <PERSON> cu cerinţe educaţionale speciale (CES), a <PERSON> cu durabilităţi/handicap, precum şi sprijinirea familiilor, <LOCATION>.	  OB. Obiectivele asociaţiei ASOCIAŢIA PRIETENII LUI SEBASTIAN CĂTĂLIN vor fi in concordanţă cu misiunea Şi scopurile sale.
Pentru realizarea acestui scop, asociaţia ASOCIAŢIA PRIETENII LUI <PERSON> îşi propune următoarele obiective:
3.	înlesnirea accesului la Informaţiile privind tulburările persoanelor cu cerinţe educaţionale speciale (CES) şi a <PERSON>, prin orice mijloace de prezentare atât în limba româna cât şi în alte <LOCATION>;
4.	Prezentarea şi popularizarea metodelor de tratament al <PERSON> cu cerinţe educaţionale speciale (CES), şi a <PERSON>, înlesnirea accesului la aceste metode;
5.	informarea, consilierea şi sprijinirea familiilor <PERSON> cu cerinţe educaţionale speciale (CES) şi a <PERSON>, pentru creşterea şi educarea acestora în conformitate cu statutul lor special;
6.	Crearea unei infrastructuri de ajutor şi sprijin al <PERSON> cu cerinţe educaţionale speciale [CES) şi a <PERSON>, precum şi familiilor lor pentru reabilitarea lor complexa (medicală, socială, psihopedagogia, educaţională, ocupationalâ şi de reiîdentă) in toate momentele importante ale vieţii lor - educaţie de masă sau specială, şcoli profesionale, centre de zi, ferme agricole speciale, <FACILITY>, etc;
7.	Oferirea unui ajutor in evaluarea precoce a <PERSON> cu cerinţe educaţionale speciale (CES] şi a <PERSON>;
fi.      Susţinerea unor programe <PERSON> (balneo-f ixio-Wnetcterapie şi de recuperare psihică) Şi de integrare în centre specializate din ţară şi străinătate;
9.	Achiziţionarea şi folosirea de aparatură medicală în scopul recuperării <PERSON> cu cerinţe educaţionale speciale (CES) şl a <PERSON>;
<LOCATION>.	Ajutorarea <PERSON> cu cerinţe educaţionale speciale (CES) şi a <PERSON>, pentru diverse tratamente medicale sau operaţii efectuate în ţară sau în străinătate şi asigurarea suportului logistic <PERSON> şi însoţitorilor acestora;
<LOCATION>.	Organizarea şi participarea la competiţii sportive, activităţi recreative, excursii, tabere pentru <PERSON> cu cerinţe educaţionale speciale (CES) şl a <PERSON>, precum şi familiile acestora;
<LOCATION>.	Deschiderea unui club al <PERSON> cu cerinţe educaţionale speciale şi a <PERSON>, unde aceştia vor beneficia de:
a.	terapii adecvate necesităţilor individuale;
b.	program <FACILITY> pentru <PERSON> şi <PERSON> înscrişi în <FACILITY>;
<LOCATION>.	Realizarea de ateliere ocupaţionale pentru <PERSON>, adolescenţi şi adulţi cu cerinţe educaţionale speciale [CES) şi a <PERSON>, şi participarea la expoziţii cu lucrări realizate în cadrul asociaţiei;
<LOCATION>.	Desfăşurarea de activităţi de economie socială;
<LOCATION>.	Dezvoltarea unor activităţi economice directe în vederea autofinanţării, în concordanţă cu scopul Asociaţiei;
<LOCATION>.	Asigurarea transportului <PERSON> cu cerinţe educaţionale speciale (CES) şi a <PERSON>, precum şi a părinţilor/însoţitorilor <PERSON> acestora;
<LOCATION>.	Organizarea de manifestaţii publice şi alte activităţi de sensibilizare a opiniei publice, potrivit legii;
<LOCATION>.	Realizarea, editarea Şi difuzarea de pliante, afişe, broşuri, programe informatice Şî alte materiale informative, participare la emisiuni TV;
<LOCATION>.	Dezvoltarea de programe proprii şi în regim de parteneriat cu instituţii ale administraţiei locale,
judeţene, centrale din ţară şi străinătate pentru atingerea scopului propus;
<LOCATION>.	Organizarea de evenimente pentru colectarea de fonduri în vederea realizării scopului cat şi organizarea oricărui tip de acţiuni care pot schimba percepţia şi atitudinea <PERSON>, a <PERSON> şi a întregii populaţii faţă de <PERSON> cu cerinţe educaţionale speciale {CES) şi faţă de <PERSON>;
<LOCATION>.	Realizarea departeneriate şl proiecte de colaborare cu instituţii de stat sau private, cuONS-uri, cu orice alte organizaţii stat din ţară cât şi din străinătate care au legătură cu scopul propus;
<LOCATION>.	Realizarea atât în ţară cât şi în străinătate de întâlniri, dezbateri, mese rotunde, seminarii, conferinţe work-shopuri, training-uri, cursuri conform scopului asociaţiei, precum şi sprijinirea <PERSON> de a participa la astfel de manifestări;
<LOCATION>.	Atragerea de resurse prin cereri de finanţare din programe naţionale şi internaţionale;
<LOCATION>.	Aderarea la uniuni, asociaţii, fundaţii, federaţii, iniţierea de reţele naţionale şi internaţionale cu problematică în domeniu, care acţionează conform obiectivelor asociaţiei;
<LOCATION>.	Realizarea de acţiuni pentru implementarea voluntariatului, a angajării civice a <PERSON> comunităţii pentru o societate incluzivâ;

<LOCATION>.     Derularea unor activităţi de sponsorizare/mecenat;
<LOCATION>.	Iniţierea, derularea şi finalizarea de proiecte, petiţii, campanii pentru ajutorarea persoanelorcu cerinţe educaţionale speciale [CES] şi a <PERSON>;
<LOCATION>.	Colaborarea cu autorităţile publice locale pentru:
a.	implementarea de proiecte sociale comune prin accesarea fondurilor externe;
b.	stabilirea de strategii locale menite să asigure promovarea scopului Asociaţiei;
c.	formularea de opinii sau iniţiative care să asigure promovarea scopului Asociaţiei;
<LOCATION>.	Traducerea de cărţi, <LOCATION>.	Realizarea unei reviste a Asociatei;
<LOCATION>    Realizarea unut site / b'og al Asociaţiei;
Posibilitaea colectării, prin contul asociaţiei, <LOCATION>% <LOCATION>% din impozitul anual al firmelor, pentru tratamente medicale, transport, papetărie, terapii de recuperare, dispozitive medicale, aparatură pentru prepararea hranei, mobilier destinat studiului;
<LOCATION>.	Ajutorarea financiara a <PERSON> asociaţiei pentru procurarea de materiale (papetarii, jocuri şi jucării terapeutice, de dezvoltare personala şi terapie ocupaţională, medicamente şi suplimente alimentare, dispozitive medicale, aparatură electronică şi dispozitive necesare orelor de terapie, instrumente de supraveghere, materiale igienic o-sanitare etc;
<LOCATION>.	Decontarea cursurilor (cv cursului, a cazării şi transportului) necesare bunei desfăşurări a activităţii asociaţie), pentru un membru/membri ai asociaţiei, <LOCATION>.	Pentru atingerea scopurilor şi obiectivelor sale Asociaţia, va derula proiecte distincte pe termen scurt, mediu şi lung, în următoarele domenii de activitate:
a.	reducerea incidenţei bolilor incurabile şi a mortalităţii datorate acestora;
b.	reducerea impactului psihologic şi social asupra celor cu care necesită dezvoltare şl recuperare fizică şi
psihică, precum şi a <PERSON> cu cerinţe educaţionale speciale ţc£5) şi a <PERSON>,
precum şi a susţinătorilor/aparţinătorilor acestora;
c   organizarea Tn regie proprie, în colaborare sau asociere cu alte organizaţii care au aceiaşi profil de activitate sau organizaţii non-guvernamentale locale şi naţionale, a unor acţiuni de cunoaştere reciprocă, dezbateri şi"" schimb de experienţă;

d.	organizarea unor activităţi de colaborare internaţională cu asociaţii similare;

e.	organizarea de manifestări [conferinţe, expoziţii, cursuri, simpozioane, manifestări cultural Ştiinţifice);
f.	realizarea de documente audio-vizuale, tipărirea de buletine informative, publicarea de reviste precum
şi alte mijloace de informare;

g.	organizarea unor acţiuni de informare, promovare şi sensibilizare a populaţiei;
h.	promovarea principiilor valorilor umane ale <PERSON> care necesită dezvoltare şi recuperare fizică şJ
psihică, a <PERSON> cu cerinţe educaţionale speciale (CES) şi a <PERSON>, precum şi a
susţinătorilor/aparţinătorilor acestora:
i.	promovarea unui regim de viaţă sănătos şi de combatere a elementelor de risc cu incidenţă în boală;
 <LOCATION>.   Asociaţia poate primi donaţii din ţară şi din străinătate de la persoanele fizice, persoane juridice sau instituţii şi poate dezvolta orice tip de activitate legală, inclusiv activităţi comerciale în scopul de a realiza fondurile necesare susţinerii obiectivelor acesteia, prin înfinţarea diverselor <FACILITY>,<PERSON> de materii prime pentru realizarea produselor hand triade, participarea la diverse târguri de prezentare a produselor sau a activităţilor economice, care să producă un venit destinat autofinanţării.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
88,3304/A/2026,4/A/I/2026,04.09.2026,Asociație,ASOCIAȚIA ACADEMIA ÎNGERAȘILOR-CENTRU DE EDUCAȚIE CREȘTINĂ,Judecatoria MOLDOVA-NOUA,Inregistrat,Nu,MOLDOVA-NOUA,CARAS SEVERIN,,"a) sprijinirea materială și financiară a Liceului Teologic Baptist locația din <LOCATION> în vederea dezvoltării bazei materiale destinate bunei funcționări a acestei <FACILITY> cu locația în <LOCATION>; 
b) sprijinirea materială și spirituală a ciclurilor de învățământ preșcolar, primar și gimnazial din cadrul Liceului Teologic Baptist <LOCATION>- locația Moldova Nouă, prin promovarea comunicării și cooperării cu instituții și organizații interne și internaționale în vederea cunoașterii și dezvoltării valorilor culturale românești în domeniul educațional, susținerea activității educaționale în spiritul moral și etic, precum și dezvoltarea în rândul <PERSON> a unor valori creștine solide, <LOCATION> sprijin material <PERSON> și <PERSON>, inclusiv celor aflați în dificultate în vederea pregătirii educaționale și profesionale, precum și a personalului angajat.
",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
127,3264/A/2026,42,01.09.2026,Asociație,ASOCIAŢIA FERMA ANIMALELOR MIREL,Judecatoria SUCEAVA,Inregistrat,Nu,UDESTI,SUCEAVA,,"Scopul Asociaţiei îl reprezintă promovarea interesului comunitar prin dezvoltarea şi administrarea unei ferme educaţionale, promovarea bunăstării animalelor, desfăşurarea de activităţi educative, sociale, culturale şi recreative pentru copii, tineri şi adulţi, precum şi protecţia mediului şi dezvoltarea comunităţii locale.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
171,3219/A/2026,118,26.08.2026,Asociație,"Asociația Institutul pentru Educație, Competențe și Progres Social",Judecatoria SECTORUL 2 BUCURESTI,Inregistrat,Nu,SECTORUL 2 - BUCURESTI,BUCURESTI,,"(1) Scopul asociației este promovarea incluziunii sociale, educației și dezvoltării profesionale prin organizarea de cursuri de formare și perfecționare pentru copii, tineri și <PERSON>, inclusiv pentru <PERSON> cu cerințe educaționale speciale (CES), precum și derularea de programe destinate integrării sociale și profesionale a <PERSON> aflate în situații vulnerabile, inclusiv șomeri, persoane private de libertate sau aflate în proces de reintegrare în <ORGANIZATION>-urile vor urmări, de asemenea, dezvoltarea de proiecte educaționale, sociale și de formare finanțate din fonduri naționale și europene, în parteneriat cu instituții publice, organizații neguvernamentale și mediul privat.
(2) Schimbarea scopului asociației se face numai de către adunarea generalä a <PERSON>, conform procedurii stabilite în prezentul statut.  
",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
182,16096/A/2024,127PJ,26.08.2026,Asociație,ASOCIAŢIA CLUB SPORTIV LV11,Judecatoria BUFTEA,Inregistrat,Nu,CORBEANCA - IF,ILFOV,,"Scopul ”Asociatiei” îl constituie asigurarea climatului optim, organizatoric si financiar pentru desfasurarea de activitati sportive auto-moto (automobilism, motociclism, <PERSON>, etc.), scoala de rally, organizarea de competitii sportive cu sau fara caracter oficial, in baza regulamentelor si statutelor federatiei sportive nationale, organizarea de cursuri de trainer/formatori acreditati de pilotaj sportiv (scoala de rally), consiliere sportiva pentru <PERSON> vederea obtinerii rezultatului sportiv urmarit, <PERSON> primind diploma de absolvire in baza careia pot obtine licenta de pilot/copilot debutant eliberata de FRAS si/sau ACR (FIA), cursuri de conducere defensiva si preventiva, inchiriere de automobile pentru competitii, de teste sau agreement, pe circuite/trasee special amenajate de asfalt si/sau macadam, inclusiv asistenta tehnica.
Asociatia va urmari promovarea activitatilor de automobilism – motociclism – karting in urmatoarele ramuri de sport:
Motociclism: viteza de circuit, viteza pe aeroport, supermoto, motocros, <LOCATION>, freestyle, snowcros, <PERSON>, enduro, raliu, enduro turism, dirt-track;
Automobilism sportiv: raliuri, viteza in coasta, slalom parallel, time attack, auto slalom, rotac, promo rally, indemanare, track day, <PERSON>, off road, rally cross, rally raid, indemanare, autocross, kartcross, viteza pe circuit, viteza pe aeroport, organizate atat pe plan national cat si international la nivel de amatory si profesionisti.
",Nu,Consiliere copii,"menționează explicit consiliere/suport psihologic pentru copii, elevi sau minori",Consiliere copii
185,3205/A/2026,111,26.08.2026,Asociație,ASOCIATIA WE HARBOR. LOCUL ÎN CARE CRESTI,Judecatoria SECTORUL 2 BUCURESTI,Inregistrat,Nu,SECTORUL 2 - BUCURESTI,BUCURESTI,,"Asociaţia se înfiinţează in scopul îmbunătăţirii calităţii educaţiei în <LOCATION>, prin crearea de programe, servicii şi instituţii educaţionale care să permită fiecărui <PERSON> să crească, să înveţe şi să aparţină.
Asociaţia porneşte de la convingerea că <PERSON> este o variaţie naturală a funcţionării creierului uman nu un defect, şi că <FACILITY> care învaţă să lucreze cu minţi diferite devin şcoli mai bune pentru toţi <PERSON>.
",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
197,3192/A/2026,7,25.08.2026,Asociație,ASOCIAŢIA CENTRUL BUBU ŞI GAŞCA,Judecatoria TECUCI,Inregistrat,Nu,TECUCI,GALATI,,"sprijinirea, educarea și dezvoltarea armonioasă a <PERSON> și <PERSON> prin organizarea de programe și servicii educaționale complementare și de educație   de tip <FACILITY>, prevenirea abandonului școlar, promovarea egalității de șanse și a incluziunii sociale, precum și prin sprijinirea, în calitate de partener, <LOCATION>/<LOCATION>.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
206,3180/A/2026,,20.08.2026,Asociație,ASOCIAŢIA ALEG SĂ ŞTIU,Judecatoria TIMISOARA,Inregistrat,Nu,TIMISOARA,TIMIS,,"A. Promovarea şi comunicarea corectă a informaţiilor medicale şi dezvoltarea materialelor educaţionale dedicate <PERSON>, adaptate diferitelor vârste. Aceasta include susţinerea de ateliere, cursuri şi webinarii pentru <PERSON>, <PERSON>, <PERSON> sau <PERSON> aflate la menopauză, precum şi crearea de campanii de conştientizare şi screening pentru prevenţia bolilor cu transmitere sexuală şi a cancerelor ginecologice. Se urmăreşte crearea unui spaţiu sigur pentru discuţii despre probleme intime şi consilierea privind sexualitatea sănătoasă, contracepţia, fertilitatea şi menopauza, asigurând profesionalism şi corectitudine în transmiterea informaţiilor.
B.	Educaţia privind sănătatea femeii şi încurajarea cunoaşterii propriului corp, prin materiale
educaţionale precise şi relevante ştiinţific. Aceasta include organizarea de ateliere şi sesiuni
interactive despre biologia corpului feminin, ciclul menstrual, contracepţie, fertilitate, prevenţia
bolilor şi sănătatea în toate etapele vieţii reproductive. Se promovează accesul la servicii
medicale şi educaţie de calitate, sprijin emoţional şi ghidarea <PERSON> în luarea deciziilor
informate pentru sănătatea lor.
C.	Crearea unui spaţiu de introspecţie, transformare şi rezilienţă emoţională, prin programe
terapeutice ghidate şi sesiuni de eliberare a stresului şi tensiunilor acumulate în corp. Se
organizează workshopuri şi activităţi de conştientizare emoţională şi corporală, sprijinind
comunitatea în înţelegerea modului în care stresul şi traumele afectează viaţa de zi cu zi.
D.	Susţinerea sănătăţii reproductive şi materne prin expertiză medicală, informare şi educaţie
pentru femei şi adolescente. Aceasta include furnizarea de servicii medicale, organizarea de
<FACILITY>, webinarii şi campanii de informare privind îngrijirea sarcinii, prevenţia complicaţiilor,
educaţia sexuală şi drepturile la sănătate. Se dezvoltă materiale informative accesibile şi se oferă
formare pentru <PERSON> în recunoaşterea semnelor de risc, astfel încât să fie asigurat accesul
echitabil la informaţie, prevenţie şi îngrijire de specialitate.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
228,3157/A/2026,92,17.08.2026,Asociație,ucenicii lui cantemir,Judecatoria CONSTANTA,Inregistrat,Nu,CONSTANTA,CONSTANTA,,"<LOCATION> „Dimitrie Cantemir” Constanta, prin organizarea și susținerea de activități educaționale, cursuri suplimentare, programe și proiecte destinate îmbunătățirii performanței școlare și dezvoltării personale. a <PERSON>.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
230,3155/A/2026,89,17.08.2026,Asociație,ACASĂ PENTRU ALEX ŞI TROY,Judecatoria SECTORUL 4 BUCURESTI,Inregistrat,Nu,SECTORUL 4 - BUCURESTI,BUCURESTI,,"ASOCIATIA ACASĂ PENTRU ALEX ȘI TROY este o organizatie nonprofit, ce are ca scop principal sprijinirea, reprezentarea și promovarea drepturilor <PERSON> si <PERSON> proveniti din mediu familial dezechilibrat, <PERSON>, orfani, precum și a oricăror <PERSON> aflate în dificultate, indiferent de natura acesteia – medicală, socială, emoțională sau economică.
Acțiunile asociației vizează îmbunătățirea calității vieții acestora prin informare, educație, sprijin material și moral, consiliere, reintegrare familiala, acces la îngrijiri adecvate și integrare socială, scolara, educationala, profesionala.
Prin activitatile desfasurate, Asociatia va contribui la sprijinirea <PERSON> proveniti din familii monoparentale, familii afectate de consumul de substante psiho-dependente, orfani, va promova integrarea acestora in familie si societate (scoala si profesie) si va contribui la dezvoltarea vietii psiho-sociale a <PERSON> afectate de aceste situatii.",Nu,Consiliere copii; Educație/meditații,"menționează explicit consiliere/suport psihologic pentru copii, elevi sau minori; menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Consiliere copii + Educație/meditații
