An,Judet,Scoala,Medie_Generala,Medie_Romana,Medie_Matematica,Numar_Elevi
2026,Alba,"Colegiul Național „Lucian Blaga”, Sebeș",9.08,9.07,9.11,58
2026,Alba,"Școala Gimnazială „Avram Iancu”, Avram Iancu",8.71,8.53,8.9,2
2026,Alba,"Școala Gimnazială „Avram Iancu”, Alba Iulia",8.51,8.63,8.39,99
2026,Alba,"Liceul Teologic Romano-Catolic „Gróf Majláth Gusztáv Károly”, Alba Iulia",8.47,9.38,7.38,2
2026,Alba,"Școala Gimnazială „Mihai Eminescu”, Alba Iulia",8.4,8.55,8.25,105
2026,Alba,"Școala Gimnazială „Simion Pantea”, Salciua",8.3,7.8,8.8,1
2026,Alba,"Liceul Teoretic „Sfântul Iosif”, Alba Iulia",8.27,8.54,8.01,24
2026,Alba,"Seminarul Teologic Ortodox „Sfântul Simion Ștefan”, Alba Iulia",8.26,8.32,8.21,51
2026,Alba,Liceul German Sebeș,8.2,7.86,8.16,15
2026,Alba,Liceul Tehnologic de Turism și Alimentație Arieșeni,7.81,8.01,7.62,10
2026,Alba,"Colegiul Național „Inochentie Micu Clain”, Blaj",7.79,7.87,7.71,44
2026,Alba,"Școala Gimnazială „Ovidiu Hulea”, Aiud",7.61,8.0,7.23,52
2026,Alba,Școala Gimnazială Micești,7.56,7.62,7.5,16
2026,Alba,Liceul cu Program Sportiv Alba Iulia,7.55,7.74,7.36,105
2026,Alba,"Școala Gimnazială Nr. 2, Sebeș",7.54,7.81,7.28,51
2026,Alba,"Școala Gimnazială „Ion Agârbiceanu”, Alba Iulia",7.53,7.77,7.3,81
2026,Alba,"Școala Gimnazială Nr. 3, Cugir",7.46,7.79,7.14,53
2026,Alba,Școala Gimnazială Sugag,7.35,7.2,7.5,25
2026,Alba,"Școala Gimnazială „Vasile Goldiș”, Alba Iulia",7.33,7.59,7.07,86
2026,Alba,Școala Gimnazială Câmpeni,7.32,7.61,7.03,68
2026,Alba,Școala Gimnazială Ciugud,7.29,7.73,6.86,18
2026,Alba,"Școala Gimnazială „Augustin Bena”, Pianu de Jos",7.11,7.22,7.01,6
2026,Alba,"Școala Gimnazială „Nicodim Ganea”, Bistra",7.09,7.4,6.79,31
2026,Alba,"Liceul de Arte „Regina Maria”, Alba Iulia",7.09,7.22,6.96,49
2026,Alba,Școala Gimnazială Petrești,7.09,7.8,6.38,45
2026,Alba,"Colegiul Național „Bethlen Gábor”, Aiud",7.09,7.31,5.93,23
2026,Alba,"Școala Gimnazială „Iuliu Maniu”, Vintu de Jos",7.07,7.41,6.74,40
2026,Alba,"Școala Gimnazială „Axente Sever”, Aiud",7.03,7.06,7.0,64
2026,Alba,"Colegiul Național „Titu Maiorescu”, Aiud",6.99,7.15,6.65,19
2026,Alba,"Școala Gimnazială „Nicolae Drăgan”, Galda de Jos",6.99,7.27,6.71,19
2026,Alba,"Liceul „Horea, Cloșca și Crișan”, Abrud",6.97,7.41,6.54,15
2026,Alba,Liceul Tehnologic Jidvei,6.94,7.23,6.65,15
2026,Alba,Școala Gimnazială Blandiana,6.92,6.92,6.93,8
2026,Alba,"Liceul Teologic Greco-Catolic „Sfântul Vasile cel Mare”, Blaj",6.84,7.2,6.49,21
2026,Alba,"Școala Gimnazială „Toma Cocișiu”, Blaj",6.79,7.17,6.41,38
2026,Alba,Școala Gimnazială Sohodol,6.78,6.57,6.99,5
2026,Alba,"Școala Gimnazială „Emil Racoviță”, Gârda de Sus",6.73,7.02,6.44,7
2026,Alba,"Liceul Tehnologic „Alexandru Domsa”, Alba Iulia",6.67,7.2,6.13,24
2026,Alba,"Școala Gimnazială „Sebeș-Pál”, Rimetea",6.65,6.08,6.18,6
2026,Alba,Școala Gimnazială Vidra,6.61,6.75,6.46,19
2026,Alba,"Școala Gimnazială „Ioan Mihu”, Vinerea",6.6,6.91,6.31,14
2026,Alba,"Școala Gimnazială „Singidava”, Cugir",6.59,6.83,6.25,30
2026,Alba,"Școala Gimnazială „Silviu Carpinișianu”, Sebeș",6.59,6.78,6.39,25
2026,Alba,Școala Gimnazială Vadu Moților,6.58,6.5,6.66,4
2026,Alba,"Școala Gimnazială „Avram Iancu”, Zlatna",6.57,6.8,6.33,29
2026,Alba,Liceul Teoretic Teiuș,6.56,6.68,6.44,47
2026,Alba,"Școala Gimnazială „Mihail Kogălniceanu”, Sebeș",6.55,6.77,6.35,38
2026,Alba,"Liceul Tehnologic „Țara Moților”, Albac",6.49,6.51,6.47,15
2026,Alba,"Școala Gimnazială „Lucian Blaga”, Ocna Mureș",6.45,6.88,6.02,46
2026,Alba,Școala Gimnazială Lopadea Nouă,6.43,6.82,5.08,9
2026,Alba,"Școala Gimnazială „Iosif Pervain”, Cugir",6.42,6.45,6.39,16
2026,Alba,Școala Gimnazială Daia Română,6.41,7.0,5.83,20
2026,Alba,"Școala Gimnazială „Ion Breazu”, Mihalț",6.33,6.58,6.09,14
2026,Alba,"Liceul „Dr. Lazăr Chirilă”, Baia de Arieș",6.2,6.47,5.93,24
2026,Alba,"Colegiul Tehnic „Apulum”, Alba Iulia",6.2,6.37,6.03,26
2026,Alba,"Școala Gimnazială „Dr. Petru Span”, Lupsa",6.2,6.78,5.62,12
2026,Alba,"Școala Gimnazială „Avram Iancu”, Abrud",6.11,6.33,5.9,13
2026,Alba,Școala Gimnazială Ighiel,6.08,6.48,5.69,17
2026,Alba,"Școala Gimnazială „Ion Agârbiceanu”, Cenade",6.07,7.36,4.79,5
2026,Alba,Școala Gimnazială Almășu Mare,6.06,5.81,6.32,6
